url,type
www.webring.com/hub?ring=roff,phishing
content.yudu.com/Library/A1n8cr/MontrealJewishMagazi/resources/50.htm,benign
http://www.thereefrestaurant.com/wp-content/plugins/wp-lightbox-2/styles/lightbox.min.css?ver=1.3.4,malware
nytimes.com/1997/03/28/classified/paid-notice-deaths-jaffe-bernice.html,benign
wsaz.com/jeopardy,benign
xlrz.xaiu.edu.cn/js/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&app=com-d3,benign
habboficial.rel7.com/,benign
nndb.com/people/486/000092210/,benign
hulu.com/malcolm-and-eddie,benign
fwhc.org/menopause/,benign
guitartabs.cc/tabs/m/4.html,benign
vetmed.wsu.edu/,benign
copyright-contact-report-100003415265249.com,phishing
ci.detroit.mi.us/historic/dist_map2.htm,benign
https://apbfiber.com/openme/12820d200d42d3_18d30d11.exe,malware
youtube.com/watch?v=7eRf9Rlnuns,benign
http://coratradecenter.ro/component/mailto/index.html?tmpl=component&link=aHR0cDovL2NvcmF0cmFkZWNlbnRlci5yby9zZXJ2aWNpaS1jbGllbnRpL2dhcmFudGlhLXByb2R1c2Vsb3I=,defacement
answers.com/topic/ursula-thiess-1,benign
gotgayporn.com/videos/7452/antonio-vargas-jerk-off.html,benign
lpsind.com/VCIPaper.htm,benign
richnye.com/,benign
123people.com/a/manuel+romero,benign
mylife.com/c-1090135275,benign
cumberland.org/hfcpc/minister/ReaPeterGoodman.htm,benign
http://samukylmala.com/netti/index.php?option=com_content&view=category&layout=blog&id=1&Itemid=50&limitstart=10,defacement
http://www.tepolsa.com/index.php?option=com_content&view=article&id=17&Itemid=19,defacement
www.mozillazine.org/forums/viewforum.php?f=12,phishing
sjhedgefunds.com,phishing
http://www.northcoastpost.de/index.php?option=com_content&view=article&id=63:strassburg&catid=36:jugend&Itemid=55,defacement
uksponsorship.com/footinat.htm,benign
digicomfilmfestival.com/DigiCom_Film_Festival/2011_Event_Program.html,benign
www.paypal.com.pt.cgi-bin.webscr.cmd.loginsubmi.tdispatch5885.d80a.13c0d.b1f8e.26366.3d3fa.ee8d.7283e.7f018.4a567.k430.c290.bb9e.9c84.6.arab-tech.tk/webscr.html?cmd=_login-run&dispatch=5885d80a13c0db1ffc45dc241d84e9538c532da79baccf7c26f850d773643350,benign
loticks.addr.com/PLO5XIde/webscr.php?cmd_=session.start&sdr01=a&ixh=a2xvdmFrcy5iaXoMessage-ID:&ctr_=DE,benign
http://correios.com.br/Para-governo/demais-orgaos-publicos/documentos-e-correspondencias/copy_of_malote,benign
myspace.com/dolorespetersen,benign
updateinformation.bankofamerica.com.ntamarine.com/home/callus/,benign
http://helptheorphans.net/index.php?option=com_content&view=article&id=142&Itemid=140,defacement
youtube.com/watch?v=OSNMORl_yvY,benign
gamelink.com/display_star.jhtml?id=31064,benign
http://wangqiao365.com/e/wap/list.php?classid=3&style=0&bclassid=0,malware
krotzons.com/ai12ZXJob2V2ZW5AdC1vbmxpbmUuZGU=/DEsdR/cgisac56vrTneljkf8,benign
https://luv2redesign.com/admin/OneDrive1Master/ce412a8df29e83768be3e6b65c164d92,phishing
www.ticketyyahoo.com/page/vote.php?pid=41,benign
www.systemax.co.uk/europe/,phishing
soccer-blogger.com/2011/04/11/quinonez-wilson-goal-video-longest-free-kick-ever-2011/,benign
