url,type
lwn.net/1999/0121/a/vmreview.html,phishing
www.csm.ornl.gov/JPC4/,phishing
'rodrigocadastravoce.com.br/?\%EE\%83\%87\%EF\%BC\%82#sa\%20premios\%20santander&amp;pbx=1&amp;oq=&amp;aq=&amp;aqi=&amp;aql=&amp;gs_sm=&amp;gs_upl=&amp;bav=on.2\%2cor.r_gc.r_pw.\%2ccf.osb&amp;fp=aa151a29d476e27c&amp;pf=300',benign
paypal.com.webscr.cmd.login-run.5885d8c0db1f8e2636.meano.nl/,benign
paypal-schutz.de/login/,benign
marketingouroturismo.com.br,phishing
http://chiatena.zxy.me/presentations/dir/es/auth/view/document/,phishing
english.turkcebilgi.com/Stan+Brakhage,benign
har-avantgardes.blogspot.com/2006_05_28_archive.html,benign
iinteractmarketing.com.au,phishing
http://letrah.com/index.php?option=com_content&view=article&id=59:about-letrah&catid=34:contact-info,defacement
publicrecords.com/people-search-records/debra-frost,benign
imtl.org/montreal/building/1000-de-la-Gauchetiere.php,benign
http://diddydeshi.com/dojo-times/40-brighton-a-hove.html,defacement
news.yahoo.com/grantham-university-named-top-university-veterans-110237131.html,benign
ranker.com/list/black-comedy-movies-and-films/reference,benign
www.angelfire.com/my/plinth/custom.html,phishing
dncorg.com,phishing
http://searchengineland.com/doubleclick-search-adds-integration-channel-intelligence-product-feed-management-185127,benign
http://www.m2packarab.com/index.php?option=com_content&view=article&id=71:2011-03-01-14-33-07&catid=16:2010-12-02-14-26-10&Itemid=52,defacement
www.prima.eu.org/conf/dk-yapc.pdf,phishing
tabs.ultimate-guitar.com/d/dream_theater/far_from_heaven_crd.htm,benign
www.hepyuhn.hut2.ru/bradescodiaenoite.ib2.ibpflogin.0989/index.html,benign
youtube.com/watch?v=RTzd3sX9kdo,benign
howtogetridofeye-bags.com,phishing
youtube.com/watch?v=_mVR4CGLioU,benign
daml.org/ontologies/274,benign
absoluteastronomy.com/topics/Granada_Hills_Charter_High_School,benign
myspace.com/tutupati,benign
